# (n,g)     reaction
# E_in [eV]   sigma[barns]
6.623940e-01  4.070113e+01
6.651961e-01  3.888105e+01
6.679982e-01  3.717698e+01
6.708003e-01  3.557939e+01
6.736024e-01  3.407969e+01
6.764045e-01  3.267014e+01
6.792066e-01  3.134375e+01
6.820087e-01  3.009418e+01
6.848108e-01  2.891568e+01
6.876129e-01  2.780304e+01
6.904150e-01  2.675149e+01
6.932171e-01  2.575669e+01
6.960192e-01  2.481470e+01
6.988213e-01  2.392187e+01
7.016234e-01  2.307490e+01
7.044255e-01  2.227073e+01
7.072276e-01  2.150657e+01
7.110437e-01  2.052561e+01
7.148598e-01  1.960819e+01
7.186759e-01  1.874900e+01
7.224920e-01  1.794328e+01
7.263081e-01  1.718675e+01
7.301242e-01  1.647553e+01
7.339403e-01  1.580612e+01
7.377565e-01  1.517536e+01
7.415726e-01  1.458036e+01
7.453887e-01  1.401852e+01
7.492048e-01  1.348743e+01
7.530209e-01  1.298494e+01
7.568370e-01  1.250906e+01
7.606531e-01  1.205796e+01
7.644692e-01  1.162998e+01
7.682853e-01  1.122359e+01
7.725007e-01  1.079808e+01
7.767162e-01  1.039547e+01
7.809316e-01  1.001416e+01
7.851470e-01  9.652693e+00
7.893624e-01  9.309746e+00
7.935778e-01  8.984092e+00
7.977932e-01  8.674605e+00
8.020086e-01  8.380249e+00
8.062240e-01  8.100069e+00
8.104394e-01  7.833184e+00
8.146548e-01  7.578780e+00
8.188702e-01  7.336103e+00
8.230857e-01  7.104455e+00
8.273011e-01  6.883190e+00
8.315165e-01  6.671705e+00
8.357319e-01  6.469444e+00
8.411750e-01  6.221081e+00
8.466180e-01  5.986201e+00
8.520611e-01  5.763863e+00
8.575042e-01  5.553205e+00
8.629473e-01  5.353436e+00
8.683904e-01  5.163833e+00
8.738334e-01  4.983729e+00
8.792765e-01  4.812512e+00
8.847196e-01  4.649618e+00
8.901627e-01  4.494524e+00
8.956058e-01  4.346751e+00
9.010488e-01  4.205853e+00
9.064919e-01  4.071418e+00
9.119350e-01  3.943065e+00
9.173781e-01  3.820439e+00
9.228211e-01  3.703211e+00
9.298509e-01  3.559303e+00
9.368807e-01  3.423284e+00
9.439105e-01  3.294596e+00
9.509402e-01  3.172734e+00
9.579700e-01  3.057233e+00
9.649998e-01  2.947665e+00
9.720295e-01  2.843641e+00
9.790593e-01  2.744799e+00
9.860891e-01  2.650808e+00
9.931188e-01  2.561363e+00
1.000149e+00  2.476181e+00
1.007178e+00  2.395000e+00
1.014208e+00  2.317581e+00
1.021238e+00  2.243698e+00
1.028268e+00  2.173144e+00
1.035297e+00  2.105726e+00
1.044376e+00  2.023009e+00
1.053455e+00  1.944871e+00
1.062534e+00  1.870986e+00
1.071613e+00  1.801058e+00
1.080691e+00  1.734816e+00
1.089770e+00  1.672012e+00
1.098849e+00  1.612415e+00
1.107928e+00  1.555817e+00
1.117007e+00  1.502025e+00
1.126085e+00  1.450859e+00
1.135164e+00  1.402156e+00
1.144243e+00  1.355764e+00
1.153322e+00  1.311543e+00
1.162401e+00  1.269361e+00
1.171480e+00  1.229099e+00
1.180558e+00  1.190644e+00
1.192285e+00  1.143481e+00
1.204012e+00  1.098953e+00
1.215739e+00  1.056874e+00
1.227465e+00  1.017071e+00
1.239192e+00  9.793868e-01
1.250919e+00  9.436770e-01
1.262646e+00  9.098094e-01
1.274373e+00  8.776627e-01
1.286099e+00  8.471249e-01
1.297826e+00  8.180931e-01
1.309553e+00  7.904723e-01
1.321280e+00  7.641748e-01
1.333007e+00  7.391194e-01
1.344733e+00  7.152311e-01
1.356460e+00  6.924402e-01
1.368187e+00  6.706824e-01
1.383334e+00  6.440105e-01
1.398481e+00  6.188436e-01
1.413628e+00  5.950733e-01
1.428775e+00  5.726008e-01
1.443922e+00  5.513355e-01
1.459070e+00  5.311948e-01
1.474217e+00  5.121027e-01
1.489364e+00  4.939895e-01
1.504511e+00  4.767910e-01
1.519658e+00  4.604483e-01
1.534805e+00  4.449070e-01
1.549952e+00  4.301168e-01
1.565099e+00  4.160313e-01
1.580246e+00  4.026076e-01
1.595393e+00  3.898060e-01
1.610541e+00  3.775896e-01
1.630103e+00  3.626229e-01
1.649665e+00  3.485077e-01
1.669227e+00  3.351821e-01
1.688789e+00  3.225898e-01
1.708351e+00  3.106794e-01
1.727914e+00  2.994037e-01
1.747476e+00  2.887195e-01
1.767038e+00  2.785873e-01
1.786600e+00  2.689706e-01
1.806162e+00  2.598359e-01
1.825724e+00  2.511524e-01
1.845286e+00  2.428915e-01
1.864849e+00  2.350270e-01
1.884411e+00  2.275346e-01
1.903973e+00  2.203917e-01
1.923535e+00  2.135775e-01
1.948800e+00  2.052321e-01
1.974064e+00  1.973644e-01
1.999328e+00  1.899396e-01
2.024593e+00  1.829258e-01
2.049857e+00  1.762940e-01
2.075122e+00  1.700176e-01
2.100386e+00  1.640723e-01
2.125651e+00  1.584358e-01
2.150915e+00  1.530876e-01
2.176179e+00  1.480087e-01
2.201444e+00  1.431819e-01
2.226708e+00  1.385911e-01
2.251973e+00  1.342216e-01
2.277237e+00  1.300597e-01
2.302502e+00  1.260928e-01
2.327766e+00  1.223090e-01
2.360397e+00  1.176758e-01
2.393027e+00  1.133088e-01
2.425657e+00  1.091884e-01
2.458288e+00  1.052967e-01
2.490918e+00  1.016176e-01
2.523549e+00  9.813624e-02
2.556179e+00  9.483891e-02
2.588810e+00  9.171318e-02
2.621440e+00  8.874759e-02
2.654071e+00  8.593162e-02
2.686701e+00  8.325558e-02
2.719332e+00  8.071054e-02
2.751962e+00  7.828825e-02
2.784592e+00  7.598111e-02
2.817223e+00  7.378208e-02
2.849853e+00  7.168463e-02
2.892007e+00  6.911565e-02
2.934162e+00  6.669419e-02
2.976316e+00  6.440939e-02
3.018470e+00  6.225134e-02
3.060624e+00  6.021099e-02
3.102778e+00  5.828008e-02
3.144932e+00  5.645105e-02
3.187086e+00  5.471699e-02
3.229240e+00  5.307152e-02
