 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.11941E+01      -0.82771E-01       0.13837E+01      -0.17110E+03      -0.80004E-01      -0.66963E+02
      0      1       0.12169E+04      -0.34767E+00      -0.76388E+00      -0.48522E+03       0.24732E-01       0.59692E+03
      0      1      -0.16693E+00      -0.26458E-01       0.41914E-01       0.87704E+01      -0.40407E+00      -0.46356E+02
      0      1       0.17923E+00       0.50792E-01      -0.10256E+01       0.10347E+03       0.15709E+01       0.69492E+02
      0      1       0.23729E+04      -0.44530E+00       0.23537E-01      -0.76847E+03      -0.12499E+01       0.35170E+03
      0      1       0.94668E+03      -0.33236E+00      -0.98246E+00      -0.33880E+03       0.51526E+00       0.38644E+03
      0      1       0.13243E+00       0.34204E-02       0.49572E+00      -0.14426E+02       0.98360E-01      -0.67620E+02
      0      1       0.13116E+04      -0.33075E+00       0.45799E+01      -0.31032E+03       0.44536E+00      -0.46439E+03
      0      1       0.19515E+01       0.73978E-01       0.24944E+01      -0.22768E+03      -0.18281E+01      -0.22520E+03
      0      1       0.25309E+02      -0.91514E-02      -0.15935E+00      -0.11215E+03      -0.12145E+01       0.10864E+03
      0      1      -0.19844E+00       0.52466E-01      -0.10522E+01      -0.66509E+02      -0.63329E+00       0.74422E+02
      0      1       0.71733E+03      -0.51696E-01       0.31954E+01      -0.20693E+03      -0.19759E+00      -0.44554E+03
      0      1       0.60046E+03      -0.30042E+00       0.41980E+00      -0.36731E+03      -0.10448E+01      -0.14497E+03
      0      1      -0.13323E+00       0.16254E-01      -0.22638E+00       0.91135E+02       0.12077E+01      -0.48932E+00
      0      1      -0.10288E+01      -0.29133E-01       0.17043E+00      -0.17969E+03      -0.52318E+00      -0.21059E+02
      0      1      -0.83003E+00      -0.46695E-01      -0.64857E+00       0.53965E+02       0.62099E+00       0.12584E+02
      0      1       0.16243E+00      -0.76882E-02      -0.98863E+00       0.40683E+02       0.91856E+00       0.15892E+02
      0      1      -0.43994E-01       0.72939E-01      -0.26502E+01      -0.14636E+02       0.79377E+00       0.17692E+03
      0      1       0.13994E+04      -0.29083E+00      -0.25225E+01      -0.28949E+03       0.25706E+00       0.50883E+03
      0      1       0.43223E+00       0.90371E-02       0.71501E+00       0.33286E+02       0.21887E+00      -0.44336E+02
      0      1      -0.71655E-01       0.46814E-02      -0.16986E+01      -0.11391E+03      -0.11476E+01       0.15613E+03
      0      1       0.10682E+04      -0.29133E+00      -0.11893E+01       0.44473E+03       0.29787E+01       0.11989E+03
      0      1      -0.50749E+00      -0.19782E-01      -0.24077E+01      -0.16093E+03      -0.17320E+01       0.22222E+03
      0      1       0.75150E+00       0.71033E-02       0.21783E+01      -0.20560E+03      -0.19045E+01      -0.14035E+03
      0      1       0.99928E+03      -0.36820E+00       0.23058E+01       0.26045E+03       0.59252E+00      -0.45472E+03
      0      1       0.11676E+04      -0.39234E+00       0.21106E+00       0.10327E+03       0.62421E+00      -0.48470E+02
      0      1       0.13971E+04      -0.37235E+00       0.86343E+00       0.70685E+03       0.21708E+01      -0.99721E+02
      0      1       0.63295E+00       0.71901E-01      -0.14715E+00      -0.11273E+02      -0.10231E+01      -0.68270E+02
      0      1      -0.18999E+00       0.81579E-02       0.14446E+01      -0.38651E+02      -0.49970E+00      -0.37303E+02
      0      1      -0.11532E+01       0.59337E-02       0.16466E+00      -0.37010E+02      -0.99125E+00       0.61239E+02
      0      1      -0.60895E+00       0.24669E-01       0.38516E+00       0.64642E+02       0.11201E+01       0.54778E+02
      0      1      -0.92060E+00      -0.35171E-01       0.78540E-01      -0.14785E+02       0.38824E+00       0.51191E+02
      0      1      -0.19995E+00      -0.12722E-01       0.98011E+00      -0.91004E+02      -0.19340E+00      -0.12309E+02
      0      1      -0.42925E+00       0.96877E-02       0.47258E+00       0.46781E+02      -0.34472E-01      -0.25221E+02
      0      1       0.53251E+00       0.12637E+00       0.27470E+01       0.10488E+03       0.11607E+01      -0.22765E+03
      0      1      -0.37380E+01      -0.17872E-01      -0.26223E-01       0.10200E+03      -0.90315E+00       0.13519E+03
      0      1      -0.44640E+00       0.29399E-01      -0.71036E+00       0.11629E+02       0.66764E+00       0.10740E+03
      0      1       0.63203E+03      -0.24080E+00       0.27017E+01       0.32851E+03       0.16017E+01      -0.75216E+03
      0      1       0.14036E+04      -0.26579E+00      -0.47610E+00       0.53153E+03       0.20358E+00      -0.41423E+03
      0      1       0.11606E+01      -0.15309E-01       0.39789E+00      -0.75843E+02      -0.35147E+00      -0.12655E+02
      0      1      -0.87980E+00      -0.14174E-01      -0.31309E-02       0.14076E+03       0.16602E+01       0.16907E+02
      0      1       0.41032E+01       0.63806E-01       0.96546E+00       0.11993E+03       0.21833E+01      -0.97143E+02
      0      1       0.14534E+04      -0.29396E+00      -0.16502E+01       0.26320E+03       0.26379E+01       0.13431E+04
      0      1      -0.42162E-01      -0.38374E-01       0.62250E+00       0.48161E+02       0.13967E+01       0.61325E+02
